step,object,x,y,zoom,page,question,answer,layer1_button,layer1_content,layer2_button,layer2_content
1,introduction_photo,0.49856232235727516,0.5002777711928661,1,,What is the Florentine Codex?,"The Florentine Codex was created between 1540 and 1570 by Friar Bernardino de Sahagún and a large team of Indigenous scholars and artists at the Colegio de Santa Cruz de Tlatelolco. The project documented Indigenous knowledge, religion, culture, and daily life. It is considered one of the most important sources for understanding Nahua society after the Spanish conquest.",,,,
2,introduction_photo,0.5,0.4991666412353516,1,,What was Book 7 about?,"The 7th book of the *Florentine Codex* is entitled *""**Astrology and Natural Philosophy**""*, and it is the focus of our presentation. This book details some of the key lore, myths, creation stories, and religious practices that were practiced by indigenous people and shaped by the world around them. Their spirtual beliefs were deeply rooted in the natural world around them: rain, the stars, the Moon, the Sun, eclipses, and more. **We will expland upon a few natural phenomena and how the native peoples interpreted them as signs from gods and events that impact their lives.**",,,,
3,chapter3-stars,0.5100676318507027,0.5062284723799532,0.9,,What did the stars mean to people?,"The text describes specific groups of stars, such as the stars called Mastelejos, which appeared near another star group known as the Cabrillas. When these stars appeared in the sky, people performed ceremonies and offerings, including the burning of incense at different times during the night. These rituals were meant to determine whether the coming night would bring good fortune or danger.

- Alejandra",Learn more,blank_template-learn-more.md,Citations,blank_template-go-deeper.md
4,ch_4_smoking_star,0.48239686963329487,0.2717167739059277,3.73725,,What is a “smoking star”?,"Comets and shooting stars were interpreted as powerful celestial omens. The text describes comets as “smoking stars”, whose appearance in the sky was believed to predict major events such as the death of rulers, war, or famine. Because of these associations, the sight of a comet created fear and uncertainty.

- Alejandra",Learn more,blank_template-step4-layer1.md,Go deeper,blank_template-step4-layer2.md
5,chapter1_solar_eclipse,0.5,0.5,1,,What did the Sun mean to the people?,"The Sun was viewed as a living deity that worked to illuminate the world when he was up in the sky. He was celebrated but also carried bad omens with certain events.

- Nachiket",Learn more,blank_template-step5-layer1.md,Go deeper,blank_template-citations.md
6,chapter2_rabbit,0.5,0.5,0.9999999999999999,,What did the Moon mean to the people?,"The Moon was also viewed as a living deity that was at work when in the sky. The Xaltocan people worshipped it as a god. Lunar eclipses carried bad omens with them.

- Nachiket",Learn more,blank_template-the-moon.md,,
7,chapter2_sun_and_moon,0.503673482838605,0.49744891015128073,0.9,,How did the Nahaus think the Sun and the Moon were created?,"The Nahaus believed that the Sun and Moon came into existence after two gods, Nanahuatzin and Tecuciztecatl, jumped into a bonfire. To make the Sun and the Moon move, all the gods had to be sacrificed.

- Nachiket",Learn more,blank_template-step7-layer1.md,Go deeper,blank_template-step7-layer2.md
8,chapter7,0.413666564610731,0.625851870700901,1,,"Why are there no images this chapter, and what do the annotations mean?","Because the passage explains calendrical logic rather than ritual activity or social scenes, it omits all images. However, the manuscript page still contains visible annotations and corrections made by the scribes. the passage was treated as a technical explanation that required careful clarification and revision, reinforcing that this chapter functions more as a written record of calendrical knowledge than as a visual narrative.

- Jared",Text Comparison,blank_template-text-comparison.md,Citations,blank_template-step8-layer2.md
9,ch8_image,0.33299999999999996,0.62,2.2,,Why would someone sell themself into slavery?,"During famine in the year One Rabbit, desperate people sometimes “sold themselves” or even their children to wealthier households in order to survive. It visually represents the social consequences of famine described in the text.

- Jared",Text Comparison,blank_template-step9-layer1.md,Citations,blank_template-step9-layer2.md
10,ch5_rainbow,0.332,0.75,2.2,,How did they see rain as a sustaining force?,"Chapter 5 talks about the lore around a very important and influential god, **Tlaloc**, who the Aztecs and other indigenous peoples believed **controlled the rain and water**, and thus sustained all life. This religious story is a perfect example of how indigenous peoples were spiritually connected to the natural world, explaining phenomena such as rain and clouds by giving them godly origins and treating them as the will of a sentient figure.

- Gabi",Learn more,blank_template-chapter-summary.md,Text Analysis,blank_template-step10-layer2.md
11,ch6_hail_snow,0.32240296976455335,0.36486610249117774,2.4667499999999998,,How did they explain seasons and weather patterns?,"Chapter 6 details the indigenous lore surrounding precipitation such as **frost, snow, and hail**. Like rain, they viewed these phenomena as signs from a higher power due to their **predictive properties** of indicating **good/bad will from the gods** as well as their perceived influence on their success in harvesting and having good weather. We also learn how the Aztec knew there were certain seasons that were time for planting, harvesting, etc. **They developed months and a calendar** built around how things grew from the earth. These beliefs further demonstrate how indigenous peoples would explain what was going on in the natural world around them by treating them as the will of sentient figures.

- Gabi",Learn more,blank_template-step11-layer1.md,Text Analysis,blank_template-text-analysis.md
12,herbs_florentine,0.5,0.5,1,,The Research Process,We all read through the entire book 7 of the Florentine Codex. We proceeded to split up the different chapters between us based on how much content was covered in each chapter. We referred to previous readings in order to analyze the differences in the Spanish and Nahuatl translations of each chapter and the accompanying images. Everyone prepared writeups with references formatted for the Telar website. These were then discussed in context with the scholarly sources during our meetings and iterated upon. We ran into difficulties with Telar as it would not display some of the text and images. We communicated with Professor Cobo to debug. Eventually we used the new Telar Compositor to create our website. Despite some remaining bugs we were able to complete the website and come very close to achieving our original vision.,,,,
