object_id,title,featured,creator,description,source_url,period,year,object_type,subjects,source,credit,thumbnail
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Mark ""yes"" to feature on homepage",,,# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,,,,# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.",,"# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Marca ""sí"" para destacar en la página de inicio",,,# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,,,,# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.",,"# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
ch_4_smoking_star,Smoking Star,,,"The image shows a star with a long trailing tail, visually representing the comet described in the text as a “smoking star.” The tail suggests motion across the sky and reinforces the idea that this celestial object was seen as unusual and powerful.",,,,,,,,
ch4_comet,,,,,,,,,,,,
ch5_rainbow,Illustration of a Rainbow,yes,,A colorful and vibrant painting of a rainbow. Rainbows were seen as powerful objects sent by Tlaloc to break up clouds and end rain.,,,,,,,,
ch6_hail_snow,Illustration of Precipitation,,,"This image is a drawing of different kinds of precipitation: snow, hail, and thick rain-bringing clouds.",,,,,,,,
ch8_image,,,,,,,,,,,,
chapter1_solar_eclipse,Illustration of the Sun,,,The illustration depicts the Sun normally on the left and during a solar eclipse on the right.,,,,,,,,
chapter1_sun_stone,Sun Stone from Tenochtitlan,,,The stone tablet shows an old Mesoamericann depiction of the Sun.,,,,,,,,
chapter2_faces_of_the_moon,Illustration of the Moon,,,The illustration shows the crescent Moon with a face.,,,,,,,,
chapter2_rabbit,Illustration of a rabbit on the Moon,,,The illustration a rabbit on the full Moon.,,,,,,,,
chapter2_sun_and_moon,Illustration of a Solar Eclipse,yes,,The illustration depicts the Moon on the left and during a solar eclipse on the right.,,,,,,,,
chapter3-stars,Constellation Illustration,,,"The image depicts several groups of stars drawn as bright star shapes arranged in patterns. These illustrations represent constellations described in the chapter. The stars appear in organized formations, visually reinforcing the text’s discussion of star groups such as the Mastelejos. The drawings help readers understand how the stars were imagined and recognized in the sky.",,,,,,,,
chapter4-comet,,,,,,,,,,,,
chapter4-comets,,,,,,,,,,,,
chapter7,Markings and Annotations,,,"Words are crossed out and rewritten, potentially indicating that the text was actively edited during the compilation of the Codex.",,,,,,,,
chapter8,Selling into Slavery,,,"During the year One Rabbit, desperate people sometimes “sold themselves” or even their children to wealthier households in order to survive.",,,,,,,,
herbs_florentine,,,,,,,,,,,,
introduction_photo,Florentine Codex,,,"This image from the Florentine Codex shows four Indigenous figures wearing ceremonial clothing and holding ritual objects. The illustration reflects the codex’s use of detailed images to document Indigenous culture, beliefs, and social roles.",,,,,,,,
telar-placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,
